Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_35010_length_3734_cov_3.483284	STRG.142765	139.07634	0	195.900238	2869.277344	0	0	579.354919	0	1264.690796	0	1748.307373	0	0	276.54895	152.449615	435.812347	1434.537964	131.362259	0	934.196899	0	0	0	0	0	403.191345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	805.000183	0	743.024841
NODE_351_length_33776_cov_7.705228	STRG.8708	0	0	0	0	0	0	278.464111	0	799.729309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_352_length_33692_cov_23.170259	STRG.8736	0	0	242.157791	437.937042	0	886.922119	257.815308	784.658813	149.713226	269.31781	218.279678	0	167.103622	669.023499	0	318.370575	485.907104	0	213.709885	168.843277	117.429848	0	0	0	0	618.21051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_35229_length_3719_cov_32.042849	STRG.143184	330.836212	0	0	0	0	0	0	0	0	0	133.377335	0	257.04715	219.285767	165.950363	0	0	0	4.53156	0	154.931915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_35254_length_3718_cov_3.580672	STRG.143237	199.253616	0	213.741867	0	47.60651	0	0	0	0	0	0	0	130.935287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_35380_length_3708_cov_9.045168	STRG.143463	0	0	0	0	302.56842	599.15686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371.15567	0	0	0
NODE_35397_length_3706_cov_43.263763	STRG.143502	10841.41113	33923.625	2782.547607	8089.267578	1122.630493	3034.390625	6284.215332	8406.887695	4873.55127	1974.982788	2306.344482	661.817444	5156.144531	3686.084473	342.877563	2578.494873	0	11417.3125	4510.862793	1509.540405	420.949249	1611.275146	5865.680664	1896.999756	1560.605957	873.537048	227.209015	0	0	0	540.949768	0	0	6797.881836	0	608.694946	212.183365	0	95.401939	1086.307617	157.362274	240.208679	311.780487	504.794281	4666.355469
NODE_35520_length_3698_cov_4.418886	STRG.143695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385.944275	0	240.620331	0	0	0	0
NODE_35567_length_3695_cov_5.793132	STRG.143779	98.426506	0	0	0	0	0	0	0	83.786682	0	0	0	23.036983	626.934143	134.072968	0	0	0	0	0	153.551376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_3566_length_13661_cov_23.494120	STRG.42186	0	0	148.606476	0	0	0	0	0	0	0	0	0	0	0	176.957153	0	0	0	574.522339	0	394.133392	0	0	173.046127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_35681_length_3686_cov_4.759020	STRG.143989	0	1158.974731	0	0	77.977921	0	0	1418.838013	0	849.838623	73.209221	0	84.140892	787.028564	970.846313	844.16626	0	562.603638	0	126.376442	0	0	0	0	0	0	201.248032	610.407532	0	0	0	244.131439	0	594.022034	0	0	0	0	0	0	0	186.984619	481.0466	0	0
NODE_35936_length_3668_cov_11.592029	STRG.144468	49.813404	814.639709	0	0	42.771454	0	412.341156	193.837555	592.1073	0	380.435425	0	182.703781	365.731964	189.732849	1118.008911	0	628.222717	961.600464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318.598907	0	0	0	0	0	0	0	0	0	0
NODE_3630_length_13541_cov_8.733279	STRG.42666	2280.83667	294.44989	7646.002441	3958.193359	1391.775513	1411.161865	22062.73633	14461.76758	11574.94043	10648.11816	5613.367676	4172.578613	8126.827637	6144.754883	9437.677734	0	1170.143311	681.870483	3563.005371	17302.62305	4022.810547	8736.035156	7433.07373	5351.583984	22023.79492	12687.92383	5582.315918	10707.66504	4216.799805	7451.911133	24592.36133	4005.56665	3121.512451	43573.23047	9279.672852	10925.94336	6501.053711	6785.232422	4055.354004	3520.909668	6277.79248	7032.158203	10741.34375	11695.17188	7827.97998
NODE_36425_length_3631_cov_12.928971	STRG.145354	64438.61719	12127.04199	73345.53906	83058.28906	28891.1875	38816.75	68554.22656	31323.02539	91869.10938	28132.71289	52211.03125	30914.98828	63037.13672	40838.875	87934.5625	36037.07031	36896.82422	17510.20508	30360.93359	99690.42188	17097.21289	80302.60938	56920.35938	61947.69531	88622.61719	107513.6875	131922.3594	90680.42969	125568.3438	94617.05469	82244.54688	82431.64063	73255.76563	81929.20313	70119.07813	182224.7656	131192	117584.7969	36823.6875	59501.69922	43125.37891	104339.625	72961.35938	157684.4844	100962.7344
NODE_3654_length_13489_cov_5.650737	STRG.42851	0	0	0	0	0	0	233.76741	0	171.594864	0	0	0	0	104.680359	0	89.824066	0	0	0	0	313.103119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
