Contig	Gene	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12	g1a1	g1a2	g1a3	g1b1	g1b2	g1b3	g9b1	g9b2	g9b3	g13a1	g13a2	g13a3	g13b1	g13b2	g13b3	g17a1	g17a2	g17a3	g17b1	g17b2	g17b3	g2017-9am1	g2017-9am2	g2017-9am3	g2017-9am4	g2017-9am5	g2017-9am6	g2017-9am7	g2017-9am8	g2017-9am9	g2017-9am10	g2017-9am11	g2017-9am12	g2017-9pm1	g2017-9pm2	g2017-9pm3	g2017-9pm4	g2017-9pm5	g2017-9pm6	g2017-9pm7	g2017-9pm8	g2017-9pm9	g2017-9pm10	g2017-9pm11	g2017-9pm12
NODE_26749_length_4469_cov_160.756004	Ga0224629_1026749.3	STRG.116486	0	0	0	0	16.591984	13.961473	9.767223	0	44.370991	0	31.92317	0	14.927212	157.856949	0	0	0	0	193.400757	0	314.875916	0	183.908356	0	0	60.534172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.932696	0.540845	5.776607	1.817784	0.14941	0.761936	2.175537	2.46987	0	1.171283	6.95306	0	0	4.909173	0	2.688562	0.606374	0	7.385875	2.45047	7.066842	0.084833	1.266053	0.782521	0.480761	4.17314	0.253038	3.27781	0	5.667648	3.102047	1.412796	2.876488	6.141645	0.528965	2.912519	0	0.328904	0	1.922522	7.910792	1.377642	15.663193	8.470723	2.053525
NODE_26891_length_4452_cov_4.647487	Ga0224629_1026891.3	STRG.116749	8.324239	0	0	0	0	0	0	22.500418	1109.06958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277991	0	0	0	0	0	0	1.111195	5.195288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27023_length_4437_cov_60.187814	Ga0224629_1027023.11	STRG.117035	29.456226	0	0	0	0	0	0	0	35.550159	0	0	0	6.120337	72.443016	48.283295	0	0	0	130.998215	0	313.254395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847323	0	0	0	0	4.544517	0.404947	0	0	0	2.29358	0	0	2.745761	0.885164	2.458837	1.49736	0.330191	8.975111	0	1.982618	5.200269	0	0.79561	1.047032	0.642636	0	0.107814	2.447192	0	1.973719	2.372804	1.744847	12.184721	12.6518	0	2.610874
NODE_27104_length_4429_cov_227.643118	Ga0224629_1027104.1	STRG.117202	0	0	0	0	0	0	27.981133	8.064535	0	0	0	0	0	146.123291	15.269575	0	0	0	233.808319	0	501.648743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151202	0.104752	0.669112	0	0.128655	0	0.74685	0	0.870409	0	0	0	0.265772	0	0.254982	0	0.132794	0	3.224362	0	5.791024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27104_length_4429_cov_227.643118	Ga0224629_1027104.3	STRG.117205	0	0	0	0	0	0	18.020294	0	15.430592	0	36.784039	0	3.637612	30.418324	18.441219	0	0	0	203.647324	0	589.436035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.163936	10.000177	4.636344	6.253346	1.482039	2.576265	4.040841	2.511423	3.88995	5.700731	0.324355	1.149513	2.19981	4.745187	2.368939	0	0.788314	3.49734	8.432255	4.66381	8.426137	3.387525	3.183044	1.15794	1.444194	0	0	0	0	1.677845	1.614933	3.921772	2.179362	0.592736	4.647395	2.863646	12.418324	0	0	4.608172	1.191908	1.159093	0.899221	4.052965	1.664258
NODE_27122_length_4427_cov_104.337832	Ga0224629_1027122.9	STRG.117250	17.883421	0	0	0	4.036777	0	0	0	0	0	0	0	0	228.457626	54.107758	0	0	0	57.491173	0	572.27948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198241	0	0	0.292253	0.302209	0	0	0	0	0.746782	0.145381	0	0.279095	0	0.27806	0	0	0.426865	1.120128	0.131717	1.947076	1.973706	0.88948	0	0	0	2.445256	7.149848	1.332281	12.534998	0.591274	2.767964	1.197114	4.174747	2.011611	0.602269	1.237561	4.509944	1.543191	1.371229	1.534738	0.715207	172.182648	4.397028	0
NODE_27206_length_4419_cov_91.712878	Ga0224629_1027206.1	STRG.117409	0	0	0	0	0	0	0	0	0	0	27.349623	0	33.019501	88.29776	0	0	0	0	775.104065	0	105.07605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.934509	0	0	0	0	0	0	0	0.177679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244648	0	0	0	2.013685	1.506117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27248_length_4414_cov_240.229869	Ga0224629_1027248.7	STRG.117494	0	0	0	0	0	0	0	0	0	19.048155	0	0	5.623057	163.113922	57.85614	0	0	0	528.231201	0	2668.753906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.81839	0	0	0	0	0	0	0	0	139.319397	0.917662	0	0	0	0.704285	0.727565	1.38465	0.781464	0	0	0.964584	0	0.482803	3.390671	2.011364	0	0	0	12.918241	0	95.222816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27562_length_4382_cov_3.285186	Ga0224629_1027562.8	STRG.118149	0	0	0	0	0	0	0	0	35.361794	0	0	0	0	168.877716	0	0	0	0	172.860504	0	293.629028	0	0	0	0	42.103062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684828	1.375753	0	0	0	0	0	2.204067	0	0	0.9057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27615_length_4376_cov_8.025226	Ga0224629_1027615.11	STRG.118283	0	0	0	30.357357	0	0	0	0	0	0	72.706406	0	0	115.112907	0	3.5429	0	0	2678.357422	0	115.757965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27660_length_4372_cov_303.904332	Ga0224629_1027660.1	STRG.118367	0	0	0	0	6.75648	0	0	16.751986	11.758847	0	23.799435	0	0	190.593216	44.157639	0	0	0	238.445663	0	497.614105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.267479	0	0	0	0	0	1.094746	0	0.35966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.079902	0.144701	10.922794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27660_length_4372_cov_303.904332	Ga0224629_1027660.1	STRG.118369	2.820868	0	0	0	0	0	5.079122	46.062141	55.2467	0	0	0	0	442.969025	0	0	0	0	176.491867	3.759715	265.237579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.094746	0	0.35966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.079902	0.144701	10.922794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27733_length_4364_cov_20.503829	Ga0224629_1027733.2	STRG.118507	34.213779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1715.946411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.431329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_27740_length_4364_cov_8.170109	Ga0224629_1027740.7	STRG.118539	0	0	0	0	0	0	0	0	489.97641	0	0	0	12.735678	0	0	0	0	0	77.144455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.86668	0	0.126367	0	0	0	0	0	0.11222	0.558672	4.668802	0	0.273138	0	0.324734	1.6731	0	0.359313	0	0	1.469713	0	0.370655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
