Contig	sRNA_ID	s1a1	s1a2	s1a3	s1b1	s1b2	s1b3	s9b1	s9b2	s9b3	s13a1	s13a2	s13a3	s13b1	s13b2	s13b3	s17a1	s17a2	s17a3	s17b1	s17b2	s17b3	s2017-9am1	s2017-9am2	s2017-9am3	s2017-9am4	s2017-9am5	s2017-9am6	s2017-9am7	s2017-9am8	s2017-9am9	s2017-9am10	s2017-9am11	s2017-9am12	s2017-9pm1	s2017-9pm2	s2017-9pm3	s2017-9pm4	s2017-9pm5	s2017-9pm6	s2017-9pm7	s2017-9pm8	s2017-9pm9	s2017-9pm10	s2017-9pm11	s2017-9pm12
NODE_24027_length_4795_cov_3.060338	STRG.119719	1238.009516	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	6027.131778	#DIV/0!	0	0	0	245.2108661	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	781.6084847	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
NODE_2404_length_16301_cov_7.162009	STRG.32911	0	0	0	#DIV/0!	0	#DIV/0!	1456.152611	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	1355.400701	#DIV/0!	0	#DIV/0!	4401.19037	0	0	0	#DIV/0!	0	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	2649.330278	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0
NODE_24149_length_4778_cov_8.897099	STRG.120038	659.0100292	0	423.3939709	907.0034927	1541.372365	0	#DIV/0!	388.0777365	#DIV/0!	#DIV/0!	0	#DIV/0!	0	471.6976313	0	1483.15263	2602.145083	542.8029376	0	#DIV/0!	0	0	586.5999235	#DIV/0!	958.0136056	0	0	1442.837057	#DIV/0!	1342.643482	376.217955	1609.209677	1213.626721	#DIV/0!	1009.214599	#DIV/0!	791.8807588	465.8721914	0	0	698.2491232	0	0	1332.126216	0
NODE_2415_length_16280_cov_9.535532	STRG.33029	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	94.93364258	0	0	0	3798.720121	#DIV/0!	0	2917.004468	#DIV/0!	0	0	#DIV/0!	0	0	0	#DIV/0!	0	#DIV/0!	0	0	662.0750481	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0
NODE_2419_length_16276_cov_10.479009	STRG.33066	200.8393805	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	52.2428863	#DIV/0!	0	#DIV/0!	0	167.119965	0	0	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	0
NODE_24252_length_4766_cov_13.058586	STRG.120305	34.50322443	#DIV/0!	133.0034388	0	0	#DIV/0!	23.08632006	16.92485903	141.0756062	#DIV/0!	30.43239139	#DIV/0!	16.02880999	115.2074451	0	443.0510814	0	#DIV/0!	29.03724444	347.7598887	3.35736655	#DIV/0!	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0
NODE_24318_length_4757_cov_10.174819	STRG.120430	#DIV/0!	1270.493569	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	1279.765136	#DIV/0!	#DIV/0!	470.3738917	#DIV/0!	#DIV/0!	1252.393828	558.3474183	#DIV/0!	#DIV/0!	#DIV/0!	596.4007989	#DIV/0!	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!
NODE_2436_length_16226_cov_24.085523	STRG.33224	0	0	32.9264571	0	44.61663132	0	0	0	0	0	10.04381958	0	81.26411667	76.60050719	0	0	75.79825036	23.01400365	0	0	107.9082383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_2436_length_16226_cov_24.085523	STRG.33237	1952.645338	2006.190589	2761.675885	3086.406481	1815.439212	1355.143362	1812.211346	2890.159519	2055.15611	4642.787809	1312.341104	1429.608689	2016.64466	2037.41393	2563.337621	2854.207166	3869.581092	1699.967857	1547.300396	2264.846588	878.2888329	713.8520268	1060.488411	1207.512765	1140.706179	2602.47936	993.7957559	1203.031942	1033.45872	195.3131091	1222.315852	684.2174017	709.9706211	3373.23426	230.8351384	411.3953368	532.8542338	681.3902366	738.1831303	237.2778299	604.0353916	945.4580024	1044.519307	1203.994089	1965.088641
NODE_2438_length_16225_cov_7.894682	STRG.33254	0	0	0	0	0	0	0	0	0	#DIV/0!	0	0	0	114.5656794	0	0	0	0	19.72723643	0	31.14625432	#DIV/0!	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
